Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
157,0.177142,0.041516,-0.040599,-0.012425,0.053866,0.000550,0.995423
158,0.170075,0.040219,-0.041483,-0.012087,0.052040,0.000540,0.995337
159,0.163244,0.038995,-0.042262,-0.011767,0.050269,0.000531,0.995248
160,0.156426,0.037757,-0.043111,-0.011446,0.048506,0.000522,0.995158
161,0.149818,0.036593,-0.043866,-0.011141,0.046792,0.000513,0.995068
162,0.143474,0.035473,-0.044508,-0.010848,0.045138,0.000505,0.994976
163,0.137304,0.034381,-0.045109,-0.010563,0.043529,0.000496,0.994883
164,0.131495,0.033352,-0.045529,-0.010292,0.042001,0.000488,0.994789
165,0.125925,0.032364,-0.045870,-0.010032,0.040532,0.000480,0.994694
166,0.120702,0.031455,-0.046053,-0.009791,0.039144,0.000472,0.994599
167,0.115733,0.030571,-0.046154,-0.009557,0.037819,0.000465,0.994503
168,0.111169,0.029765,-0.046055,-0.009342,0.036585,0.000458,0.994407
169,0.106858,0.028979,-0.045882,-0.009132,0.035416,0.000450,0.994310
170,0.102930,0.028274,-0.045532,-0.008942,0.034335,0.000443,0.994213
171,0.099261,0.027609,-0.045097,-0.008762,0.033317,0.000437,0.994115
172,0.095958,0.026994,-0.044510,-0.008593,0.032387,0.000430,0.994018
173,0.092952,0.026426,-0.043816,-0.008437,0.031528,0.000424,0.993920
174,0.090246,0.025910,-0.043011,-0.008294,0.030742,0.000418,0.993822
175,0.087885,0.025456,-0.042056,-0.008165,0.030036,0.000412,0.993723
176,0.085721,0.025033,-0.041053,-0.008044,0.029378,0.000406,0.993625
177,0.083885,0.024642,-0.039921,-0.007930,0.028798,0.000401,0.993527
178,0.082297,0.024306,-0.038722,-0.007833,0.028282,0.000395,0.993428
179,0.080915,0.024014,-0.037457,-0.007744,0.027814,0.000390,0.993330
180,0.079753,0.023731,-0.036129,-0.007658,0.027400,0.000385,0.993232
181,0.078785,0.023497,-0.034747,-0.007583,0.027033,0.000380,0.993133
182,0.077979,0.023271,-0.033345,-0.007512,0.026710,0.000375,0.993035
183,0.077320,0.023075,-0.031900,-0.007448,0.026420,0.000371,0.992937
184,0.076754,0.022900,-0.030465,-0.007388,0.026157,0.000366,0.992838
185,0.076340,0.022755,-0.028999,-0.007338,0.025932,0.000362,0.992740
186,0.075985,0.022614,-0.027545,-0.007287,0.025722,0.000358,0.992642
187,0.075685,0.022478,-0.026119,-0.007239,0.025530,0.000353,0.992544
188,0.075518,0.022361,-0.024655,-0.007194,0.025368,0.000349,0.992447
189,0.075288,0.022245,-0.023284,-0.007151,0.025199,0.000345,0.992349
190,0.075118,0.022137,-0.021913,-0.007109,0.025043,0.000341,0.992251
191,0.074968,0.022022,-0.020583,-0.007068,0.024895,0.000337,0.992153
192,0.074822,0.021917,-0.019283,-0.007026,0.024751,0.000333,0.992056
193,0.074668,0.021819,-0.018025,-0.006988,0.024606,0.000329,0.991958
194,0.074497,0.021704,-0.016822,-0.006946,0.024463,0.000325,0.991861
195,0.074191,0.021570,-0.015725,-0.006900,0.024291,0.000322,0.991764
196,0.073941,0.021451,-0.014623,-0.006857,0.024130,0.000318,0.991667
197,0.073663,0.021332,-0.013572,-0.006813,0.023967,0.000314,0.991570
198,0.073269,0.021184,-0.012614,-0.006764,0.023780,0.000310,0.991473
199,0.072749,0.021027,-0.011757,-0.006714,0.023569,0.000307,0.991376
200,0.072249,0.020879,-0.010904,-0.006665,0.023359,0.000303,0.991279
201,0.071707,0.020713,-0.010101,-0.006611,0.023141,0.000299,0.991183
202,0.071008,0.020519,-0.009421,-0.006553,0.022896,0.000295,0.991086
203,0.070206,0.020308,-0.008803,-0.006489,0.022623,0.000292,0.990990
204,0.069414,0.020109,-0.008199,-0.006428,0.022353,0.000288,0.990894
205,0.068473,0.019892,-0.007701,-0.006365,0.022054,0.000284,0.990798
206,0.067547,0.019666,-0.007210,-0.006297,0.021756,0.000281,0.990702
207,0.066545,0.019429,-0.006784,-0.006228,0.021445,0.000277,0.990606
208,0.065491,0.019185,-0.006404,-0.006157,0.021122,0.000273,0.990511
209,0.064329,0.018935,-0.006095,-0.006085,0.020777,0.000270,0.990416
210,0.063162,0.018654,-0.005804,-0.006006,0.020430,0.000266,0.990321
211,0.061958,0.018393,-0.005546,-0.005931,0.020074,0.000262,0.990226
212,0.060728,0.018142,-0.005319,-0.005858,0.019715,0.000259,0.990131
213,0.059467,0.017878,-0.005124,-0.005784,0.019350,0.000255,0.990037
214,0.058190,0.017590,-0.004954,-0.005702,0.018980,0.000251,0.989943
215,0.056916,0.017303,-0.004805,-0.005623,0.018615,0.000248,0.989850
216,0.055569,0.017019,-0.004702,-0.005543,0.018234,0.000244,0.989756
217,0.054263,0.016727,-0.004596,-0.005461,0.017862,0.000241,0.989663
218,0.052973,0.016460,-0.004488,-0.005386,0.017494,0.000237,0.989571
219,0.051692,0.016193,-0.004393,-0.005310,0.017128,0.000234,0.989479
220,0.050413,0.015903,-0.004318,-0.005229,0.016765,0.000230,0.989387
221,0.049118,0.015619,-0.004259,-0.005149,0.016399,0.000227,0.989295
222,0.047813,0.015347,-0.004227,-0.005073,0.016035,0.000223,0.989205
223,0.046694,0.015111,-0.004105,-0.005004,0.015707,0.000220,0.989114
224,0.045484,0.014831,-0.004052,-0.004926,0.015364,0.000217,0.989024
225,0.044272,0.014579,-0.004009,-0.004855,0.015021,0.000214,0.988934
226,0.043170,0.014340,-0.003924,-0.004786,0.014701,0.000211,0.988845
227,0.042116,0.014094,-0.003834,-0.004715,0.014396,0.000208,0.988756
228,0.041057,0.013856,-0.003759,-0.004647,0.014090,0.000204,0.988668
229,0.040133,0.013656,-0.003633,-0.004589,0.013815,0.000201,0.988580
230,0.039153,0.013424,-0.003546,-0.004522,0.013530,0.000199,0.988493
231,0.038314,0.013237,-0.003399,-0.004465,0.013274,0.000196,0.988406
232,0.037439,0.013025,-0.003296,-0.004404,0.013016,0.000193,0.988320
233,0.036624,0.012837,-0.003160,-0.004348,0.012769,0.000190,0.988234
234,0.035826,0.012646,-0.003042,-0.004291,0.012529,0.000187,0.988149
235,0.035160,0.012480,-0.002862,-0.004240,0.012316,0.000185,0.988065
236,0.034430,0.012300,-0.002739,-0.004187,0.012095,0.000182,0.987981
237,0.033757,0.012122,-0.002592,-0.004134,0.011885,0.000179,0.987897
238,0.033199,0.011974,-0.002407,-0.004087,0.011702,0.000177,0.987814
239,0.032627,0.011832,-0.002233,-0.004042,0.011516,0.000175,0.987732
240,0.032124,0.011681,-0.002047,-0.003996,0.011350,0.000172,0.987650
241,0.031607,0.011549,-0.001870,-0.003953,0.011178,0.000170,0.987568
242,0.031060,0.011403,-0.001720,-0.003908,0.011003,0.000168,0.987488
243,0.030717,0.011288,-0.001488,-0.003869,0.010871,0.000165,0.987408
244,0.030338,0.011177,-0.001284,-0.003833,0.010736,0.000163,0.987328
245,0.029938,0.011073,-0.001097,-0.003798,0.010597,0.000161,0.987249
246,0.029608,0.010949,-0.000889,-0.003758,0.010472,0.000159,0.987170
247,0.029311,0.010858,-0.000672,-0.003727,0.010356,0.000157,0.987092
248,0.028984,0.010742,-0.000487,-0.003689,0.010237,0.000154,0.987015
249,0.028732,0.010637,-0.000275,-0.003654,0.010134,0.000152,0.986938
250,0.028454,0.010551,-0.000073,-0.003624,0.010024,0.000150,0.986862
251,0.028206,0.010471,0.000128,-0.003594,0.009924,0.000149,0.986786
252,0.027940,0.010381,0.000315,-0.003563,0.009819,0.000147,0.986711
253,0.027687,0.010271,0.000491,-0.003528,0.009721,0.000145,0.986636
254,0.027445,0.010203,0.000675,-0.003502,0.009624,0.000143,0.986562
255,0.027164,0.010104,0.000829,-0.003469,0.009519,0.000141,0.986488
256,0.026904,0.009993,0.000988,-0.003434,0.009419,0.000139,0.986415
257,0.026680,0.009893,0.001151,-0.003400,0.009328,0.000137,0.986342
258,0.026492,0.009825,0.001331,-0.003374,0.009244,0.000136,0.986270
259,0.026240,0.009737,0.001469,-0.003344,0.009151,0.000134,0.986199
260,0.025957,0.009633,0.001593,-0.003311,0.009049,0.000132,0.986128
261,0.025695,0.009541,0.001714,-0.003280,0.008953,0.000130,0.986058
262,0.025456,0.009467,0.001850,-0.003253,0.008859,0.000129,0.985987
263,0.025219,0.009366,0.001975,-0.003220,0.008768,0.000127,0.985918
264,0.024885,0.009274,0.002050,-0.003191,0.008659,0.000125,0.985849
265,0.024675,0.009181,0.002178,-0.003159,0.008574,0.000124,0.985781
266,0.024305,0.009080,0.002228,-0.003128,0.008457,0.000122,0.985713
267,0.024070,0.009008,0.002339,-0.003101,0.008367,0.000121,0.985645
268,0.023772,0.008905,0.002410,-0.003069,0.008266,0.000119,0.985579
269,0.023474,0.008819,0.002483,-0.003039,0.008164,0.000118,0.985512
270,0.023094,0.008689,0.002505,-0.003002,0.008048,0.000116,0.985446
271,0.022844,0.008606,0.002589,-0.002973,0.007955,0.000114,0.985381
