Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
50,0.024684,0.013927,0.008206,-0.003978,0.008129,-0.000542,0.446084,-0.005115,0.716420,5.0000,94.6231,5.0000,191.7244,281.0428,264.0357,1.0000,22.0247,8.5765,19.8518,15.1134,27.9647
51,0.024894,0.015888,0.009321,-0.004777,0.008217,-0.000833,0.446781,-0.005133,0.716021,5.0000,95.4426,5.0000,192.2747,284.8342,265.4074,1.0000,21.8914,8.1873,19.5803,14.5830,28.1038
52,0.021625,0.016060,0.006113,-0.005857,0.006790,0.002952,0.447476,-0.005148,0.715621,5.0000,96.2835,5.0000,192.7825,287.8674,266.7491,1.0000,21.7583,7.8029,19.3324,14.0805,28.2351
53,0.020732,0.016925,0.004841,-0.005190,0.006703,-0.000123,0.448170,-0.005160,0.715218,5.0000,97.1463,5.0000,193.2347,290.2939,268.0371,1.0000,21.6285,7.4255,19.1093,13.6044,28.3606
54,0.017810,0.015126,0.001039,-0.004764,0.005578,0.000523,0.448861,-0.005169,0.714815,5.0000,98.0062,5.0000,193.6328,292.2351,269.2577,1.0000,21.5045,7.0600,18.9158,13.1636,28.4783
55,0.016498,0.014367,-0.001092,-0.004776,0.005043,0.002278,0.449551,-0.005174,0.714411,5.0000,98.8571,5.0000,193.9744,293.7881,270.3976,1.0000,21.3881,6.7092,18.7517,12.7603,28.5887
56,0.015669,0.016062,-0.002214,-0.004964,0.004870,-0.000454,0.450238,-0.005177,0.714007,5.0000,99.6941,5.0000,194.2528,295.0305,271.4464,1.0000,21.2792,6.3746,18.6132,12.3922,28.6922
57,0.014741,0.014857,-0.003336,-0.004309,0.004566,-0.000807,0.450923,-0.005176,0.713602,5.0000,100.5008,5.0000,194.4864,296.0244,272.4078,1.0000,21.1760,6.0588,18.4989,12.0620,28.7866
58,0.015555,0.015474,-0.002245,-0.004696,0.004879,-0.001261,0.451605,-0.005171,0.713198,5.0000,101.2775,5.0000,194.6848,296.8195,273.2866,1.0000,21.0782,5.7632,18.4059,11.7692,28.8725
59,0.015145,0.015141,-0.003137,-0.004656,0.004717,-0.001007,0.452285,-0.005164,0.712794,5.0000,102.0277,5.0000,194.8587,297.4556,274.0911,1.0000,20.9845,5.4885,18.3301,11.5109,28.9507
60,0.015541,0.012245,-0.002817,-0.003504,0.004880,-0.001013,0.452962,-0.005154,0.712390,5.0000,102.7534,5.0000,195.0042,297.9645,274.8295,1.0000,20.8949,5.2348,18.2668,11.2820,29.0232
61,0.013247,0.010169,-0.005469,-0.002968,0.003964,0.000082,0.453636,-0.005142,0.711986,5.0000,103.4655,5.0000,195.1127,298.3716,275.5069,1.0000,20.8104,5.0017,18.2120,11.0786,29.0928
62,0.014837,0.011164,-0.003283,-0.003245,0.004628,-0.001026,0.454308,-0.005126,0.711583,5.0000,104.1689,5.0000,195.1786,298.6973,276.1263,1.0000,20.7317,4.7878,18.1623,10.8953,29.1608
63,0.015728,0.009537,-0.002355,-0.003081,0.004873,0.001193,0.454976,-0.005109,0.711179,5.0000,104.8605,5.0000,195.2219,298.9578,276.6961,1.0000,20.6570,4.5918,18.1180,10.7314,29.2259
64,0.014833,0.010179,-0.003458,-0.003345,0.004574,0.000730,0.455643,-0.005089,0.710776,5.0000,105.5458,5.0000,195.2433,299.1663,277.2199,1.0000,20.5864,4.4118,18.0773,10.5819,29.2888
65,0.014071,0.007025,-0.004507,-0.002275,0.004267,0.000469,0.456307,-0.005067,0.710373,5.0000,106.2251,5.0000,195.2554,299.3330,277.7057,1.0000,20.5194,4.2462,18.0412,10.4461,29.3490
66,0.012910,0.008226,-0.005025,-0.002293,0.003950,-0.001693,0.456968,-0.005042,0.709970,5.0000,106.9056,5.0000,195.2602,299.4664,278.1556,1.0000,20.4560,4.0934,18.0101,10.3239,29.4075
67,0.012728,0.008625,-0.004353,-0.002723,0.003819,-0.000113,0.457626,-0.005016,0.709569,5.0000,107.5740,5.0000,195.2722,299.5731,278.5760,1.0000,20.3949,3.9524,17.9863,10.2174,29.4622
68,0.014424,0.008066,-0.002883,-0.002252,0.004553,-0.000842,0.458283,-0.004988,0.709167,5.0000,108.2280,5.0000,195.2884,299.6585,278.9706,1.0000,20.3351,3.8214,17.9680,10.1230,29.5133
69,0.013870,0.007500,-0.003337,-0.002753,0.004241,0.000423,0.458936,-0.004959,0.708765,5.0000,108.8698,5.0000,195.3045,299.7268,279.3436,1.0000,20.2759,3.6996,17.9539,10.0396,29.5618
70,0.013615,0.006223,-0.003368,-0.002081,0.004181,0.000388,0.459587,-0.004928,0.708363,5.0000,109.5128,5.0000,195.3167,299.7814,279.6982,1.0000,20.2174,3.5855,17.9413,9.9640,29.6098
71,0.012726,0.005096,-0.004020,-0.001646,0.003870,-0.000276,0.460235,-0.004895,0.707963,5.0000,110.1554,5.0000,195.3166,299.8251,280.0362,1.0000,20.1602,3.4784,17.9290,9.8943,29.6579
72,0.011501,0.006412,-0.004816,-0.000711,0.003726,-0.006377,0.460881,-0.004862,0.707562,5.0000,110.7985,5.0000,195.3081,299.8601,280.3594,1.0000,20.1046,3.3776,17.9175,9.8312,29.7058
73,0.013317,0.003273,-0.002933,-0.001596,0.003993,0.002950,0.461524,-0.004826,0.707162,5.0000,111.4162,5.0000,195.3170,299.8881,280.6757,1.0000,20.0494,3.2839,17.9122,9.7821,29.7491
74,0.011718,0.003774,-0.004291,-0.001020,0.003574,-0.000323,0.462165,-0.004790,0.706762,5.0000,112.0410,5.0000,195.3126,299.9105,280.9742,1.0000,19.9951,3.1937,17.9050,9.7340,29.7935
75,0.011467,0.001846,-0.004399,-0.000228,0.003504,-0.000995,0.462804,-0.004753,0.706363,5.0000,112.6685,5.0000,195.2961,299.9284,281.2577,1.0000,19.9410,3.1071,17.8970,9.6884,29.8385
76,0.013384,0.003354,-0.001941,-0.001175,0.004180,0.000359,0.463440,-0.004715,0.705963,5.0000,113.3015,5.0000,195.2756,299.9427,281.5275,1.0000,19.8876,3.0240,17.8900,9.6479,29.8838
77,0.012013,0.003288,-0.003115,-0.001268,0.003664,0.000059,0.464074,-0.004676,0.705564,5.0000,113.9340,5.0000,195.2579,299.9542,281.7865,1.0000,19.8341,2.9433,17.8837,9.6107,29.9284
78,0.013234,0.002128,-0.001786,-0.001196,0.004078,0.001513,0.464706,-0.004637,0.705166,5.0000,114.5672,5.0000,195.2475,299.9633,282.0397,1.0000,19.7806,2.8650,17.8784,9.5767,29.9723
79,0.012212,-0.000714,-0.002594,-0.000640,0.003564,0.004659,0.465335,-0.004596,0.704767,5.0000,115.2104,5.0000,195.2393,299.9707,282.2866,1.0000,19.7275,2.7886,17.8732,9.5449,30.0167
80,0.011070,0.000704,-0.003247,-0.000428,0.003310,0.000766,0.465962,-0.004555,0.704369,5.0000,115.8736,5.0000,195.2128,299.9765,282.5211,1.0000,19.6761,2.7131,17.8658,9.5120,30.0640
81,0.010697,0.000533,-0.003325,0.000094,0.003282,-0.001537,0.466587,-0.004513,0.703972,5.0000,116.5351,5.0000,195.1860,299.9812,282.7487,1.0000,19.6251,2.6391,17.8603,9.4834,30.1102
82,0.012506,0.001430,-0.001162,-0.000469,0.003952,-0.000662,0.467210,-0.004471,0.703574,5.0000,117.1823,5.0000,195.1767,299.9850,282.9742,1.0000,19.5737,2.5673,17.8600,9.4638,30.1527
83,0.011788,0.001125,-0.001608,-0.000081,0.003754,-0.002211,0.467830,-0.004429,0.703176,5.0000,117.8153,5.0000,195.1860,299.9880,283.1986,1.0000,19.5204,2.4969,17.8640,9.4512,30.1918
84,0.011082,-0.000216,-0.001954,0.000005,0.003398,0.001201,0.468449,-0.004386,0.702779,5.0000,118.4369,5.0000,195.2093,299.9904,283.4251,1.0000,19.4653,2.4284,17.8713,9.4454,30.2287
85,0.009673,0.000036,-0.003970,0.000451,0.003032,-0.003095,0.469065,-0.004342,0.702382,5.0000,119.0594,5.0000,195.2211,299.9923,283.6498,1.0000,19.4097,2.3610,17.8769,9.4401,30.2666
86,0.010206,-0.001239,-0.003168,0.000190,0.003079,0.000727,0.469680,-0.004299,0.701985,5.0000,119.6764,5.0000,195.2285,299.9938,283.8777,1.0000,19.3536,2.2956,17.8823,9.4379,30.3043
87,0.011294,-0.000792,-0.001329,-0.000061,0.003481,0.000709,0.470292,-0.004255,0.701588,5.0000,120.2992,5.0000,195.2210,299.9951,284.1045,1.0000,19.2980,2.2313,17.8841,9.4340,30.3438
88,0.009680,0.000141,-0.002717,-0.000220,0.002935,-0.000286,0.470903,-0.004211,0.701191,5.0000,120.9318,5.0000,195.2043,299.9961,284.3300,1.0000,19.2429,2.1678,17.8827,9.4283,30.3848
89,0.009647,-0.002620,-0.002792,0.001002,0.002951,-0.000526,0.471512,-0.004168,0.700795,5.0000,121.5671,5.0000,195.1921,299.9969,284.5573,1.0000,19.1883,2.1053,17.8808,9.4231,30.4256
90,0.010642,0.001385,-0.001083,-0.000169,0.003423,-0.002913,0.472118,-0.004124,0.700399,5.0000,122.2074,5.0000,195.1824,299.9975,284.7822,1.0000,19.1348,2.0438,17.8801,9.4203,30.4663
91,0.010157,-0.003972,-0.002235,0.001626,0.003184,-0.000217,0.472723,-0.004080,0.700003,5.0000,122.8313,5.0000,195.1924,299.9980,285.0096,1.0000,19.0805,1.9833,17.8833,9.4224,30.5035
92,0.009872,-0.001371,-0.001838,0.000643,0.003095,-0.001343,0.473326,-0.004036,0.699607,5.0000,123.4590,5.0000,195.1959,299.9984,285.2306,1.0000,19.0266,1.9233,17.8875,9.4262,30.5414
93,0.009666,-0.001286,-0.001918,-0.000082,0.002902,0.000777,0.473927,-0.003992,0.699212,5.0000,124.0816,5.0000,195.1959,299.9987,285.4476,1.0000,18.9720,1.8635,17.8919,9.4307,30.5788
94,0.009855,-0.002734,-0.001373,0.000655,0.002997,0.000978,0.474526,-0.003949,0.698816,5.0000,124.7069,5.0000,195.1886,299.9990,285.6626,1.0000,18.9168,1.8032,17.8940,9.4324,30.6168
95,0.010174,-0.001725,-0.001015,0.000475,0.003180,0.000075,0.475124,-0.003905,0.698421,5.0000,125.3430,5.0000,195.1716,299.9992,285.8756,1.0000,18.8621,1.7432,17.8940,9.4321,30.6563
96,0.010061,-0.003675,-0.001092,0.000766,0.003045,0.002176,0.475719,-0.003862,0.698026,5.0000,125.9813,5.0000,195.1563,299.9993,286.0895,1.0000,18.8079,1.6837,17.8942,9.4326,30.6958
97,0.009181,-0.001918,-0.001777,0.000903,0.002902,-0.001895,0.476313,-0.003819,0.697631,5.0000,126.6288,5.0000,195.1371,299.9995,286.3004,1.0000,18.7547,1.6241,17.8937,9.4322,30.7362
98,0.009550,-0.000976,-0.001052,0.000696,0.003078,-0.002738,0.476905,-0.003777,0.697235,5.0000,127.2686,5.0000,195.1333,299.9996,286.5135,1.0000,18.7014,1.5653,17.8967,9.4368,30.7741
99,0.008995,-0.001249,-0.001529,0.000147,0.002756,-0.000349,0.477495,-0.003734,0.696841,5.0000,127.8917,5.0000,195.1522,299.9997,286.7316,1.0000,18.6470,1.5074,17.9043,9.4473,30.8083
100,0.008472,-0.005362,-0.002676,0.001980,0.002599,-0.000412,0.478084,-0.003692,0.696446,5.0000,128.5103,5.0000,195.1772,299.9997,286.9523,1.0000,18.5916,1.4499,17.9125,9.4589,30.8415
101,0.009295,-0.004535,-0.001869,0.001934,0.002973,-0.001933,0.478671,-0.003651,0.696051,5.0000,129.1366,5.0000,195.1829,299.9998,287.1686,1.0000,18.5369,1.3928,17.9189,9.4702,30.8768
102,0.008665,-0.002594,-0.001746,0.001082,0.002704,-0.000911,0.479256,-0.003609,0.695657,5.0000,129.7589,5.0000,195.1738,299.9998,287.3811,1.0000,18.4822,1.3365,17.9241,9.4823,30.9126
103,0.009242,-0.003243,-0.000934,0.001032,0.002868,-0.000121,0.479839,-0.003568,0.695263,5.0000,130.3694,5.0000,195.1595,299.9998,287.5943,1.0000,18.4273,1.2806,17.9279,9.4933,30.9474
104,0.008109,-0.003670,-0.002212,0.001574,0.002530,-0.001865,0.480421,-0.003528,0.694868,5.0000,130.9799,5.0000,195.1445,299.9999,287.8095,1.0000,18.3723,1.2251,17.9300,9.5022,30.9822
105,0.009302,-0.003724,-0.001077,0.001243,0.002906,-0.000057,0.481001,-0.003488,0.694474,5.0000,131.5915,5.0000,195.1370,299.9999,288.0281,1.0000,18.3179,1.1705,17.9328,9.5122,31.0167
106,0.008950,-0.002808,-0.000813,0.000264,0.002656,0.001800,0.481579,-0.003448,0.694080,5.0000,132.2038,5.0000,195.1295,299.9999,288.2465,1.0000,18.2643,1.1163,17.9354,9.5208,31.0514
107,0.008035,-0.003531,-0.001805,0.001468,0.002482,-0.001474,0.482155,-0.003409,0.693687,5.0000,132.8229,5.0000,195.1180,299.9999,288.4639,1.0000,18.2113,1.0617,17.9357,9.5255,31.0873
108,0.008713,-0.004823,-0.001781,0.000218,0.002430,0.005767,0.482731,-0.003370,0.693292,5.0000,133.4389,5.0000,195.1092,299.9999,288.6827,1.0000,18.1591,1.0081,17.9375,9.5314,31.1224
109,0.006798,-0.001460,-0.003415,0.001755,0.002253,-0.006576,0.483304,-0.003332,0.692898,5.0000,134.0744,5.0000,195.0829,299.9999,288.8933,1.0000,18.1085,1.0000,17.9350,9.5311,31.1606
110,0.009269,-0.004642,-0.001310,0.001090,0.002800,0.001761,0.483876,-0.003293,0.692505,5.0000,134.6840,5.0000,195.0851,300.0000,289.1080,1.0000,18.0566,1.0000,17.9409,9.5412,31.1932
111,0.008127,-0.002265,-0.002252,0.001332,0.002606,-0.003676,0.484446,-0.003256,0.692112,5.0000,135.2897,5.0000,195.0881,300.0000,289.3121,1.0000,18.0040,1.0000,17.9488,9.5524,31.2256
112,0.008928,-0.004842,-0.002237,0.001452,0.002732,0.000882,0.485014,-0.003219,0.691718,5.0000,135.8780,5.0000,195.1004,300.0000,289.5118,1.0000,17.9494,1.0000,17.9608,9.5686,31.2555
113,0.008703,-0.005495,-0.002106,0.002302,0.002731,-0.000992,0.485581,-0.003182,0.691325,5.0000,136.4650,5.0000,195.0953,300.0000,289.7016,1.0000,17.8947,1.0000,17.9714,9.5831,31.2871
114,0.008424,-0.004099,-0.002015,0.002414,0.002752,-0.004830,0.486146,-0.003146,0.690933,5.0000,137.0505,5.0000,195.0727,300.0000,289.8841,1.0000,17.8406,1.0000,17.9805,9.5971,31.3202
115,0.008498,-0.005943,-0.002413,0.001521,0.002488,0.001980,0.486709,-0.003110,0.690540,5.0000,137.6193,5.0000,195.0582,300.0000,290.0683,1.0000,17.7864,1.0000,17.9920,9.6155,31.3510
116,0.008703,-0.005321,-0.002287,0.001364,0.002582,0.001216,0.487271,-0.003075,0.690147,5.0000,138.1959,5.0000,195.0317,300.0000,290.2473,1.0000,17.7337,1.0000,17.9992,9.6287,31.3839
117,0.009781,-0.004160,-0.001039,0.001457,0.003080,0.000136,0.487830,-0.003041,0.689756,5.0000,138.7834,5.0000,194.9937,300.0000,290.4222,1.0000,17.6824,1.0000,18.0021,9.6367,31.4187
118,0.010222,-0.006164,-0.000769,0.001054,0.003019,0.005169,0.488388,-0.003007,0.689364,5.0000,139.3702,5.0000,194.9579,300.0000,290.5973,1.0000,17.6324,1.0000,18.0044,9.6433,31.4528
119,0.007352,-0.002193,-0.003456,0.001345,0.002318,-0.003141,0.488945,-0.002973,0.688971,5.0000,139.9738,5.0000,194.9120,300.0000,290.7663,1.0000,17.5847,1.0000,18.0034,9.6444,31.4893
120,0.008830,-0.003006,-0.002310,0.001150,0.002772,-0.001192,0.489499,-0.002940,0.688580,5.0000,140.5617,5.0000,194.8973,300.0000,290.9430,1.0000,17.5368,1.0000,18.0088,9.6525,31.5211
121,0.008312,-0.002736,-0.002370,0.001530,0.002645,-0.003262,0.490051,-0.002908,0.688189,5.0000,141.1342,5.0000,194.9086,300.0000,291.1240,1.0000,17.4884,1.0000,18.0198,9.6663,31.5494
122,0.008147,-0.002896,-0.002698,0.000973,0.002469,-0.000586,0.490603,-0.002876,0.687798,5.0000,141.6869,5.0000,194.9347,300.0000,291.3093,1.0000,17.4387,1.0000,18.0353,9.6859,31.5746
123,0.009182,-0.003216,-0.002139,0.000559,0.002773,0.001608,0.491152,-0.002844,0.687407,5.0000,142.2299,5.0000,194.9506,300.0000,291.4950,1.0000,17.3882,1.0000,18.0493,9.7046,31.6001
