Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
157,0.767654,0.720712,0.483254,-0.221822,0.241012,0.004786
158,0.766752,0.727971,0.476784,-0.223970,0.239393,0.004819
159,0.765775,0.735193,0.470568,-0.226136,0.237774,0.004860
160,0.764746,0.742376,0.464607,-0.228317,0.236168,0.004902
161,0.763713,0.749533,0.458912,-0.230515,0.234593,0.004939
162,0.762673,0.756659,0.453476,-0.232731,0.233050,0.004984
163,0.761681,0.763756,0.448310,-0.234961,0.231562,0.005029
164,0.760733,0.770817,0.443400,-0.237201,0.230127,0.005077
165,0.759864,0.777846,0.438753,-0.239452,0.228760,0.005125
166,0.759080,0.784838,0.434362,-0.241710,0.227465,0.005171
167,0.758427,0.791807,0.430232,-0.243980,0.226259,0.005219
168,0.757899,0.798741,0.426357,-0.246256,0.225142,0.005274
169,0.757535,0.805637,0.422733,-0.248536,0.224129,0.005327
170,0.757340,0.812490,0.419354,-0.250815,0.223222,0.005379
171,0.757331,0.819304,0.416222,-0.253095,0.222429,0.005430
172,0.757501,0.826074,0.413315,-0.255373,0.221746,0.005480
173,0.757882,0.832803,0.410641,-0.257649,0.221186,0.005534
174,0.758494,0.839478,0.408194,-0.259915,0.220759,0.005586
175,0.759332,0.846102,0.405965,-0.262176,0.220461,0.005645
176,0.760411,0.852666,0.403945,-0.264421,0.220299,0.005701
177,0.761721,0.859182,0.402124,-0.266661,0.220267,0.005757
178,0.763302,0.865627,0.400504,-0.268881,0.220382,0.005818
179,0.765132,0.872009,0.399070,-0.271086,0.220635,0.005871
180,0.767211,0.878325,0.397813,-0.273275,0.221025,0.005933
181,0.769571,0.884571,0.396734,-0.275445,0.221566,0.005988
182,0.772166,0.890736,0.395809,-0.277590,0.222235,0.006050
183,0.775040,0.896820,0.395043,-0.279711,0.223053,0.006102
184,0.778165,0.902824,0.394423,-0.281809,0.224006,0.006160
185,0.781560,0.908736,0.393943,-0.283877,0.225102,0.006217
186,0.785186,0.914550,0.393584,-0.285914,0.226324,0.006272
187,0.789069,0.920278,0.393352,-0.287925,0.227682,0.006326
188,0.793180,0.925901,0.393226,-0.289901,0.229163,0.006384
189,0.797534,0.931418,0.393205,-0.291842,0.230772,0.006434
190,0.802112,0.936825,0.393278,-0.293748,0.232501,0.006490
191,0.806912,0.942124,0.393440,-0.295618,0.234348,0.006543
192,0.811918,0.947294,0.393679,-0.297444,0.236307,0.006596
193,0.817101,0.952359,0.393987,-0.299238,0.238362,0.006646
194,0.822482,0.957282,0.394357,-0.300982,0.240523,0.006699
195,0.828027,0.962086,0.394783,-0.302689,0.242775,0.006746
196,0.833722,0.966748,0.395252,-0.304347,0.245111,0.006795
197,0.839561,0.971280,0.395763,-0.305964,0.247527,0.006841
198,0.845532,0.975660,0.396305,-0.307528,0.250017,0.006882
199,0.851624,0.979901,0.396879,-0.309049,0.252578,0.006926
200,0.857804,0.983988,0.397469,-0.310518,0.255192,0.006970
201,0.864048,0.987921,0.398069,-0.311937,0.257850,0.007014
202,0.870371,0.991693,0.398674,-0.313301,0.260557,0.007049
203,0.876751,0.995317,0.399290,-0.314620,0.263304,0.007084
204,0.883155,0.998753,0.399895,-0.315872,0.266074,0.007121
205,0.889569,1.002032,0.400493,-0.317076,0.268863,0.007153
206,0.895978,1.005138,0.401076,-0.318224,0.271662,0.007186
207,0.902367,1.008062,0.401640,-0.319312,0.274465,0.007220
208,0.908721,1.010808,0.402182,-0.320342,0.277265,0.007247
209,0.915017,1.013373,0.402700,-0.321313,0.280052,0.007270
210,0.921237,1.015748,0.403182,-0.322221,0.282816,0.007297
211,0.927380,1.017940,0.403638,-0.323072,0.285559,0.007321
212,0.933395,1.019928,0.404049,-0.323855,0.288256,0.007345
213,0.939305,1.021729,0.404429,-0.324578,0.290918,0.007365
214,0.945061,1.023320,0.404761,-0.325230,0.293523,0.007379
215,0.950653,1.024711,0.405048,-0.325818,0.296067,0.007394
216,0.956075,1.025895,0.405292,-0.326339,0.298546,0.007408
217,0.961306,1.026872,0.405484,-0.326792,0.300952,0.007426
218,0.966338,1.027639,0.405630,-0.327178,0.303280,0.007434
219,0.971163,1.028189,0.405727,-0.327490,0.305528,0.007438
220,0.975752,1.028525,0.405773,-0.327732,0.307682,0.007443
221,0.980081,1.028649,0.405764,-0.327906,0.309732,0.007448
222,0.984164,1.028558,0.405705,-0.328010,0.311683,0.007453
223,0.987971,1.028237,0.405593,-0.328036,0.313524,0.007452
224,0.991496,1.027696,0.405430,-0.327989,0.315251,0.007443
225,0.994715,1.026925,0.405211,-0.327866,0.316854,0.007444
226,0.997635,1.025931,0.404942,-0.327669,0.318336,0.007434
227,1.000241,1.024708,0.404623,-0.327395,0.319691,0.007430
228,1.002521,1.023254,0.404250,-0.327043,0.320913,0.007423
229,1.004478,1.021576,0.403832,-0.326617,0.322004,0.007408
230,1.006088,1.019667,0.403363,-0.326112,0.322953,0.007390
231,1.007370,1.017530,0.402850,-0.325531,0.323770,0.007375
232,1.008285,1.015157,0.402288,-0.324869,0.324436,0.007361
233,1.008853,1.012564,0.401687,-0.324134,0.324963,0.007340
234,1.009043,1.009730,0.401038,-0.323315,0.325334,0.007314
235,1.008872,1.006665,0.400349,-0.322416,0.325560,0.007291
236,1.008328,1.003367,0.399620,-0.321438,0.325634,0.007270
237,1.007424,0.999844,0.398856,-0.320382,0.325562,0.007240
238,1.006145,0.996093,0.398055,-0.319249,0.325339,0.007215
239,1.004501,0.992112,0.397223,-0.318035,0.324968,0.007183
240,1.002485,0.987906,0.396360,-0.316742,0.324448,0.007152
241,1.000088,0.983467,0.395465,-0.315368,0.323774,0.007118
242,0.997324,0.978805,0.394543,-0.313916,0.322953,0.007083
243,0.994191,0.973927,0.393597,-0.312389,0.321984,0.007043
244,0.990696,0.968814,0.392628,-0.310777,0.320871,0.007007
245,0.986828,0.963490,0.391637,-0.309093,0.319609,0.006963
246,0.982615,0.957951,0.390628,-0.307332,0.318211,0.006923
247,0.978036,0.952199,0.389600,-0.305497,0.316667,0.006878
248,0.973128,0.946236,0.388560,-0.303585,0.314994,0.006835
249,0.967860,0.940063,0.387505,-0.301601,0.313180,0.006784
250,0.962269,0.933678,0.386439,-0.299539,0.311239,0.006737
251,0.956341,0.927091,0.385363,-0.297405,0.309167,0.006687
252,0.950106,0.920315,0.384283,-0.295205,0.306977,0.006636
253,0.943546,0.913330,0.383195,-0.292930,0.304661,0.006585
254,0.936668,0.906159,0.382099,-0.290589,0.302223,0.006530
255,0.929507,0.898795,0.381004,-0.288178,0.299677,0.006471
256,0.922050,0.891251,0.379906,-0.285703,0.297019,0.006416
257,0.914322,0.883515,0.378809,-0.283159,0.294258,0.006359
258,0.906321,0.875608,0.377713,-0.280554,0.291397,0.006299
259,0.898052,0.867527,0.376619,-0.277887,0.288435,0.006240
260,0.889537,0.859276,0.375527,-0.275160,0.285382,0.006174
261,0.880793,0.850865,0.374441,-0.272376,0.282247,0.006112
262,0.871819,0.842295,0.373359,-0.269534,0.279028,0.006044
263,0.862625,0.833565,0.372284,-0.266637,0.275731,0.005981
264,0.853220,0.824692,0.371213,-0.263689,0.272358,0.005914
265,0.843626,0.815673,0.370152,-0.260690,0.268921,0.005848
266,0.833845,0.806508,0.369094,-0.257638,0.265419,0.005778
267,0.823891,0.797220,0.368047,-0.254545,0.261859,0.005706
268,-3.883209,-2.627596,6.186150,-0.449889,0.402921,0.005603
269,-0.393354,0.896152,14.562270,-0.035856,-0.323497,-0.028907
270,0.896622,0.845633,0.470626,-0.314662,0.324660,-0.021405
271,0.898395,0.862237,0.460447,-0.320179,0.332757,-0.020988
272,0.911409,0.870946,0.462979,-0.325484,0.338815,-0.020053
273,0.923317,0.879145,0.465340,-0.330387,0.344467,-0.018650
274,0.934559,0.886687,0.467518,-0.334951,0.349739,-0.016869
275,0.944629,0.893783,0.469568,-0.339136,0.354644,-0.014804
276,0.953810,0.900264,0.471459,-0.342958,0.359159,-0.012529
277,1.009602,0.938363,0.416069,-0.344480,0.361671,-0.010101
278,1.015679,0.942451,0.416985,-0.346756,0.364552,-0.007408
279,0.872850,0.847039,0.593687,-0.354183,0.371746,-0.004704
280,0.979454,0.918365,0.477835,-0.353693,0.372494,-0.002636
281,0.983469,0.921055,0.479105,-0.355398,0.374807,-0.000399
282,1.014452,0.941199,0.447349,-0.355627,0.375726,0.001837
