Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
28,31.426542,4.031738,22.858814,-1.607652,10.219800,1.126796,0.531024,-0.020169,0.424372,299.6905,60.7857,299.6905,299.6905,299.5602,5.0000,1.0000,1.0000,1.0000,59.2695,59.8869,45.7907
29,31.695948,3.501819,24.138226,-1.161350,10.419635,0.935586,0.528714,-0.020116,0.424687,299.7524,62.2239,299.7524,299.0041,298.2580,5.0000,1.0000,1.0000,1.0000,59.4156,59.9096,45.7864
30,32.011684,3.053612,25.298803,-1.189589,10.490213,1.768667,0.526808,-0.020072,0.424940,299.8019,63.6830,299.8019,297.3366,294.5290,5.0000,1.0000,1.0000,1.0000,59.5325,59.9276,45.6147
31,32.824322,3.533132,26.158257,-1.147049,10.684874,1.380472,0.525195,-0.020032,0.425146,299.8416,65.0299,299.8416,294.9700,289.0393,5.0000,1.0000,1.0000,1.0000,59.6260,59.9421,45.2969
32,32.859055,3.897341,26.727621,-1.550675,10.760432,1.112701,0.523802,-0.019948,0.425311,299.8732,66.1483,299.8732,292.1290,282.4224,5.0000,1.0000,1.0000,1.0000,59.7008,59.9537,44.8616
33,33.747879,3.257525,27.311863,-1.272930,10.976499,0.389911,0.522632,-0.019960,0.425457,299.8986,66.9449,299.8986,288.9991,275.2361,5.0000,1.0000,1.0000,1.0000,59.7606,59.9630,44.3413
34,33.930531,3.614480,27.757778,-1.254573,11.021048,0.365330,0.521622,-0.019973,0.425583,299.9189,67.3811,299.9189,285.7083,267.9072,5.0000,1.0000,1.0000,1.0000,59.8085,59.9704,43.7708
35,34.039387,2.837684,27.970474,-1.245729,11.040072,0.496711,0.520724,-0.019989,0.425692,299.9351,67.4589,299.9351,282.3385,260.7365,5.0000,1.0000,1.0000,1.0000,59.8468,59.9763,43.1817
36,34.219028,3.844566,28.269445,-1.201143,11.072064,0.171999,0.519918,-0.020004,0.425788,299.9481,67.1935,299.9481,278.9391,253.9086,5.0000,1.0000,1.0000,1.0000,59.8774,59.9810,42.6002
37,34.300220,3.067612,28.418554,-1.319746,11.125827,0.285943,0.519183,-0.020020,0.425873,299.9585,66.6142,299.9585,275.5436,247.5148,5.0000,1.0000,1.0000,1.0000,59.9020,59.9848,42.0460
38,34.312031,3.161969,28.591911,-1.299561,11.088449,0.332268,0.518514,-0.020027,0.425949,299.9668,65.7542,299.9668,272.1829,241.5795,5.0000,1.0000,1.0000,1.0000,59.9216,59.9879,41.5311
39,34.332874,3.252083,28.746529,-1.268580,11.093723,0.327412,0.517895,-0.020033,0.426019,299.9734,64.6503,299.9734,268.8870,236.0844,5.0000,1.0000,1.0000,1.0000,59.9373,59.9903,41.0609
40,34.433754,3.220052,28.835789,-1.196481,11.122552,0.242259,0.517323,-0.020038,0.426083,299.9787,63.3287,299.9787,265.6866,230.9856,5.0000,1.0000,1.0000,1.0000,59.9498,59.9922,40.6351
41,34.418591,3.042199,28.947527,-1.204515,11.107547,0.241930,0.516793,-0.020052,0.426142,299.9830,61.8219,299.9830,262.6054,226.2304,5.0000,1.0000,1.0000,1.0000,59.9598,59.9938,40.2512
42,34.413376,2.949529,29.017679,-1.212575,11.101820,0.243967,0.516296,-0.020062,0.426196,299.9864,60.1602,299.9864,259.6604,221.7653,5.0000,1.0000,1.0000,1.0000,59.9679,59.9950,39.9052
43,34.390804,3.027083,29.077179,-1.236469,11.084014,0.241450,0.515827,-0.020076,0.426247,299.9891,58.3736,299.9891,256.8600,217.5431,5.0000,1.0000,1.0000,1.0000,59.9743,59.9960,39.5924
44,34.355026,2.749168,29.145634,-1.232127,11.069591,0.242776,0.515383,-0.020085,0.426295,299.9913,56.4903,299.9913,254.2029,213.5260,5.0000,1.0000,1.0000,1.0000,59.9794,59.9968,39.3084
45,34.374577,2.806381,29.181225,-1.185082,11.077003,0.240093,0.514959,-0.020098,0.426340,299.9930,54.5380,299.9930,251.6801,209.6852,5.0000,1.0000,1.0000,1.0000,59.9836,59.9975,39.0494
46,34.331070,3.740326,29.251446,-1.166264,11.018809,0.323038,0.514553,-0.020091,0.426374,299.9944,52.5387,299.9944,249.2776,205.9965,5.0000,1.0000,1.0000,1.0000,59.9868,59.9980,38.8120
47,34.225979,3.580400,29.177050,-1.186835,11.055403,0.246078,0.514147,-0.020118,0.426415,299.9955,50.5127,299.9955,246.9811,202.4467,5.0000,1.0000,1.0000,1.0000,59.9895,59.9984,38.5933
48,34.240753,1.248145,29.304832,-1.334967,11.011152,0.331755,0.513764,-0.020111,0.426459,299.9964,48.4776,299.9964,244.7685,199.0166,5.0000,1.0000,1.0000,1.0000,59.9916,59.9987,38.3914
49,34.005283,2.703547,29.213017,-0.993467,10.904241,0.546755,0.513386,-0.020144,0.426492,299.9971,46.4529,299.9971,242.6195,195.6942,5.0000,1.0000,1.0000,1.0000,59.9933,59.9990,38.2042
50,34.311604,2.023734,29.327955,-1.135459,10.841115,0.157141,0.513021,-0.020141,0.426528,299.9977,44.4208,299.9977,240.5217,192.4590,5.0000,1.0000,1.0000,1.0000,59.9946,59.9992,38.0286
51,35.262619,4.310747,30.225002,-1.362776,9.902631,0.031284,0.512784,-0.020153,0.426554,299.9982,42.3864,299.9982,238.4655,189.3130,5.0000,1.0000,1.0000,1.0000,59.9957,59.9993,37.8629
52,34.531628,1.831984,29.995356,-1.542907,9.746317,-0.160005,0.512648,-0.020182,0.426566,299.9985,40.4076,299.9985,236.4532,186.3054,5.0000,1.0000,1.0000,1.0000,59.9966,59.9995,37.7053
53,34.597683,2.885695,29.786028,-1.127303,9.697279,-0.438943,0.512477,-0.020217,0.426581,299.9988,38.5867,299.9988,234.4936,183.5111,5.0000,1.0000,1.0000,1.0000,59.9972,59.9996,37.5528
54,34.082653,1.921399,30.050055,-1.085669,9.598673,-0.616899,0.512289,-0.020274,0.426597,299.9991,37.0170,299.9991,232.5786,180.9531,5.0000,1.0000,1.0000,1.0000,59.9978,59.9997,37.4028
55,34.293835,1.581975,29.853539,-1.410034,9.655440,-0.102670,0.512064,-0.020334,0.426616,299.9993,35.7538,299.9993,230.6870,178.5900,5.0000,1.0000,1.0000,1.0000,59.9982,59.9997,37.2528
56,34.178295,1.848057,29.769215,-0.842538,9.611246,-0.475534,0.511787,-0.020399,0.426637,299.9994,34.8171,299.9994,228.7878,176.3369,5.0000,1.0000,1.0000,1.0000,59.9986,59.9998,37.1007
57,34.116993,5.536431,29.605915,-0.700118,9.623882,-0.208523,0.511506,-0.020490,0.426655,299.9995,34.2099,299.9995,226.8432,174.0986,5.0000,1.0000,1.0000,1.0000,59.9989,59.9998,36.9447
58,34.350346,3.907479,29.724045,-1.596586,9.536389,-0.327170,0.511228,-0.020476,0.426687,299.9996,33.8918,299.9996,224.8211,171.7764,5.0000,1.0000,1.0000,1.0000,59.9991,59.9999,36.7815
59,33.758533,2.111633,29.679665,-1.721485,9.405301,-0.304290,0.510959,-0.020528,0.426721,299.9997,33.8196,299.9997,222.7126,169.3276,5.0000,1.0000,1.0000,1.0000,59.9993,59.9999,36.6069
60,33.619873,0.996256,29.575108,-0.811233,9.519516,0.091061,0.510648,-0.020526,0.426748,299.9998,33.9167,299.9998,220.5179,166.7239,5.0000,1.0000,1.0000,1.0000,59.9994,59.9999,36.4176
61,33.581791,1.036436,29.500519,-0.795029,9.513358,-0.219819,0.510285,-0.020549,0.426779,299.9998,34.0993,299.9998,218.2550,163.9835,5.0000,1.0000,1.0000,1.0000,59.9995,59.9999,36.2100
62,33.968567,2.890471,29.557091,-0.651582,9.509521,0.244741,0.509980,-0.020564,0.426821,299.9998,34.2634,299.9998,215.9521,161.1385,5.0000,1.0000,1.0000,1.0000,59.9996,59.9999,35.9815
63,33.430038,0.653760,29.560953,-0.651844,9.447720,0.017894,0.509714,-0.020589,0.426868,299.9998,34.2798,299.9998,213.6561,158.2214,5.0000,1.0000,1.0000,1.0000,59.9997,60.0000,35.7332
64,33.698719,2.042948,29.570187,-0.760982,9.434466,0.147421,0.509454,-0.020601,0.426918,299.9999,34.0507,299.9999,211.4138,155.2802,5.0000,1.0000,1.0000,1.0000,59.9998,60.0000,35.4702
65,33.425251,2.874835,29.605434,-1.114237,9.337902,0.337371,0.509200,-0.020630,0.426968,299.9999,33.5174,299.7479,209.2624,152.3696,5.0000,1.6985,1.0000,1.0000,59.9998,60.0000,35.1993
66,33.468132,1.979239,29.321051,-0.738999,9.383866,0.135618,0.508932,-0.020623,0.427023,299.9999,32.6498,298.3943,207.2539,149.5453,5.0000,2.5538,1.0000,1.0000,59.9998,60.0000,34.9261
67,33.173161,2.230021,29.037775,-0.921028,9.305212,0.391623,0.508642,-0.020631,0.427077,299.9999,31.4519,296.2172,205.4312,146.8315,5.0000,3.3455,1.0000,1.0000,59.9999,60.0000,34.6632
68,33.105606,2.267762,28.787712,-0.812708,9.332572,0.292484,0.508330,-0.020647,0.427133,299.9999,29.8931,293.4529,203.8288,144.2018,5.0000,4.0486,1.0000,1.0000,59.9999,60.0000,34.4318
69,32.859653,1.956396,28.343422,-0.751238,9.282559,0.411414,0.507988,-0.020656,0.427190,299.9999,27.9166,290.2722,202.4638,141.6237,5.0000,4.6511,1.0000,1.0000,59.9999,60.0000,34.2585
70,32.371132,1.624639,27.923779,-1.045461,9.098404,0.501824,0.507575,-0.020660,0.427238,300.0000,25.4937,286.8055,201.3202,139.1083,5.0000,5.1509,1.0000,1.0000,59.9999,60.0000,34.1693
71,32.574791,1.313640,27.364761,-0.527196,9.284148,0.684052,0.507121,-0.020670,0.427296,300.0000,22.6800,283.1806,200.3306,136.7124,5.0000,5.5549,1.0000,1.0000,60.0000,60.0000,34.1811
72,32.483955,2.119657,27.158514,-0.792777,9.221242,0.482404,0.506751,-0.020687,0.427361,300.0000,19.4959,279.3984,199.4239,134.4577,5.0000,5.8758,1.0000,1.0000,60.0000,60.0000,34.2992
73,32.262791,1.884776,26.689972,-0.695432,9.202138,0.599979,0.506391,-0.020699,0.427424,300.0000,15.9478,275.4214,198.5475,132.3508,5.0000,6.1258,1.0000,1.0000,60.0000,60.0000,34.5204
74,31.948174,1.722342,26.250095,-0.725653,9.103911,0.455516,0.505994,-0.020711,0.427486,300.0000,12.0741,271.2400,197.6709,130.4191,5.0000,6.3137,1.0000,1.0000,60.0000,60.0000,34.8354
75,31.151405,1.404461,25.764633,-0.760168,8.783492,0.431114,0.505466,-0.020733,0.427526,300.0000,7.9409,266.8793,196.7735,128.6878,5.0000,6.4465,1.0000,1.0000,60.0000,60.0000,35.2299
76,29.959892,2.172703,25.302452,-1.117713,8.400962,0.933261,0.504769,-0.020709,0.427549,300.0000,5.0000,262.4289,195.8210,127.1785,5.0000,6.5335,1.0000,1.0000,60.0000,60.0000,35.6852
77,31.747992,3.445218,24.070246,0.196116,9.556577,0.526622,0.503802,-0.020752,0.427571,300.0000,5.0000,257.9467,194.7785,125.8721,5.0000,6.5906,1.0000,1.0000,60.0000,60.0000,36.1784
78,31.549305,1.455339,24.289839,-0.993253,9.181877,0.334383,0.503328,-0.020776,0.427668,300.0000,5.0000,253.3608,193.6131,124.6028,5.0000,6.6444,1.0000,1.0000,60.0000,60.0000,36.6876
79,31.293686,1.496405,23.783569,-0.974397,9.132683,0.413787,0.502977,-0.020697,0.427726,300.0000,5.0000,248.6705,192.3424,123.2221,5.0000,6.7099,1.0000,1.0000,60.0000,60.0000,37.2006
80,31.302067,2.834977,23.443085,-0.666687,9.129931,0.440158,0.502622,-0.020674,0.427792,300.0000,5.0000,244.0056,191.0112,121.7652,5.0000,6.7886,1.0000,1.0000,60.0000,60.0000,37.7099
81,31.016665,0.710121,22.828749,-0.480168,9.158989,0.357057,0.502275,-0.020698,0.427854,300.0000,5.0000,239.4612,189.6621,120.2819,5.0000,6.8760,1.0000,1.0000,60.0000,60.0000,38.2109
82,29.369890,0.671570,22.439114,-0.509232,8.456977,0.059102,0.501768,-0.020725,0.427888,300.0000,5.0000,235.0784,188.3274,118.7917,5.0000,6.9663,1.0000,1.0000,60.0000,60.0000,38.7026
83,28.189331,2.688865,21.829201,-0.732603,8.054688,-0.440043,0.500787,-0.020710,0.427871,300.0000,5.0000,230.8891,187.0184,117.3412,5.0000,7.0578,1.0000,1.0000,60.0000,60.0000,39.1808
